order_id,customer_id,order_date,status,order_amount,product_id
O1001,C001,2026-07-01,completed,1499.00,P01
O1002,C002,2026-07-01,completed,899.50,P02
O1003,C001,2026-07-02,cancelled,2100.00,P03
O1004,C003,2026-07-02,completed,349.00,P04
O1005,C004,2026-07-03,completed,1250.00,P01
O1006,C002,2026-07-03,completed,499.99,P05
O1007,C005,2026-07-04,completed,760.00,P02
O1008,C001,2026-07-05,completed,2199.00,P03
O1009,C006,2026-07-05,refunded,150.00,P04
O1010,C003,2026-07-06,completed,899.50,P02
O1011,C007,2026-07-07,completed,1599.00,P01
O1012,C004,2026-07-08,completed,349.00,P04
O1013,C008,2026-07-08,completed,2450.00,P03
O1014,C002,2026-07-09,completed,499.99,P05
O1015,C009,2026-07-10,completed,760.00,P02
O1016,C005,2026-07-10,cancelled,1499.00,P01
O1017,C010,2026-07-11,completed,899.50,P02
O1018,C006,2026-07-12,completed,349.00,P04
O1019,C001,2026-07-13,completed,1250.00,P01
O1020,C007,2026-07-14,completed,2199.00,P03
