session_id,customer_id,event_date,event_type
S001,C001,2026-07-01,session_start
S001,C001,2026-07-01,purchase
S002,C002,2026-07-01,session_start
S002,C002,2026-07-01,purchase
S003,C003,2026-07-02,session_start
S004,C001,2026-07-02,session_start
S005,C004,2026-07-03,session_start
S005,C004,2026-07-03,purchase
S006,C002,2026-07-03,session_start
S006,C002,2026-07-03,purchase
S007,C005,2026-07-04,session_start
S007,C005,2026-07-04,purchase
S008,C006,2026-07-05,session_start
S009,C001,2026-07-05,session_start
S009,C001,2026-07-05,purchase
S010,C003,2026-07-06,session_start
S010,C003,2026-07-06,purchase
S011,C007,2026-07-07,session_start
S011,C007,2026-07-07,purchase
S012,C004,2026-07-08,session_start
S012,C004,2026-07-08,purchase
S013,C008,2026-07-08,session_start
S013,C008,2026-07-08,purchase
S014,C002,2026-07-09,session_start
S014,C002,2026-07-09,purchase
S015,C009,2026-07-10,session_start
S015,C009,2026-07-10,purchase
S016,C005,2026-07-10,session_start
S017,C010,2026-07-11,session_start
S017,C010,2026-07-11,purchase
S018,C006,2026-07-12,session_start
S018,C006,2026-07-12,purchase
S019,C001,2026-07-13,session_start
S019,C001,2026-07-13,purchase
S020,C007,2026-07-14,session_start
S020,C007,2026-07-14,purchase
